Rayon;Prix achat/moyen export copilote;Prix d’achat HT/kg;Nom du produit;Prix de vente TTC/kg (inclus frais);Conditionnement (poids moyen par pièce);Nombre de poche en commande ;Poids commandé (kg);Remise au kg;Prix final au kg;Total produit;Frais de livraison;Total à payer
01 - BOEUF UE;000006 - BAV ALOYAU BOEUF S/V FRAIS UE;11,00  ;BAV ALOYAU BOEUF;16,09;2,5;;0;0;16,09;0;6;6
01 - BOEUF UE;000007 - ENTRECOTE +3 BOEUF S/V FRAIS UE;11,30  ;ENTRECOTE +3 BOEUF;16,43;3;;0;0;16,43;0;6;6
01 - BOEUF UE;000117 - BASSE COTE 4 FACES BOEUF S/V FRAIS UE;8,90  ;BASSE COTE 4 FACES BOEUF;13,72;4;;0;0;13,72;0;6;6
01 - BOEUF UE;000119 - ENTRECOTE +2.5 BOEUF S/V FRAIS UE;9,50  ;ENTRECOTE +2.5 BOEUF;14,4;2,5;;0;0;14,4;0;6;6
01 - BOEUF UE;000132 - ENTRECOTE +4 BOEUF S/V FRAIS UE;11,50  ;ENTRECOTE +4 BOEUF;16,66;5;;0;0;16,66;0;6;6
01 - BOEUF UE;000133 - BAV FLANCHET BOEUF S/V FRAIS UE;8,50  ;BAV FLANCHET BOEUF;13,26;2,5;;0;0;13,26;0;6;6
01 - BOEUF UE;000134 - ONGLET BOEUF S/P S/V FRAIS UE;7,80  ;ONGLET BOEUF;12,47;3;;0;0;12,47;0;6;6
01 - BOEUF UE;000135 - ONGLET BOEUF S/NERF CENTRAL S/V FRAIS UE;9,60  ;ONGLET BOEUF;14,51;3;;0;0;14,51;0;6;6
01 - BOEUF UE;000136 - JOUE BOEUF S/V FRAIS UE;8,00  ;JOUE BOEUF;12,7;3;;0;0;12,7;0;6;6
01 - BOEUF UE;000137 - AIGUILLETTE BARONNE BOEUF S/V FRAIS UE;10,05  ;AIGUILLETTE BARONNE BOEUF;15,02;3;;0;0;15,02;0;6;6
01 - BOEUF UE;000139 - MERLAN BOEUF S/V FRAIS UE;8,50  ;MERLAN BOEUF;13,26;3;;0;0;13,26;0;6;6
01 - BOEUF UE;000141 - FILET +1.5 BOEUF S/V FRAIS UE;10,00  ;FILET +1.5 BOEUF;14,96;2;;0;0;14,96;0;6;6
01 - BOEUF UE;000142 - COEUR RSTK BOEUF +2.5 S/V FRAIS UE;10,70  ;COEUR RSTK BOEUF +2.5;15,75;3;;0;0;15,75;0;6;6
01 - BOEUF UE;000144 - COEUR RSTK BOEUF +3 S/V FRAIS UE;10,70  ;COEUR RSTK BOEUF +3;15,75;3;;0;0;15,75;0;6;6
01 - BOEUF UE;000145 - COTE DE BOEUF +5 S/V FRAIS UE;14,50  ;COTE DE BOEUF +5;20,05;5,5;;0;0;20,05;0;6;6
01 - BOEUF UE;000146 - FAUX FILET +4 BOEUF S/V FRAIS UE;9,25  ;FAUX FILET +4 BOEUF;14,11;4;;0;0;14,11;0;6;6
01 - BOEUF UE;000147 - FAUX FILET +5 BOEUF S/V FRAIS UE;10,30  ;FAUX FILET +5 BOEUF;15,3;5;;0;0;15,3;0;6;6
